Event Name;Event Date;Event Location;Event Category;Event Type;Organizing Company;Company Website;Event Url
Norfolk Family YMCA Sprint Indoor Triathlon;Sunday, February  5, 2017;Norfolk Family YMCA 301 West Benjamin Ave Norfolk , NE 68701 ;triathlon; Triathlon Super Sprint Beginner;Norfolk Family YMCA;http://www.nofolkymca.org;http://www.active.com//norfolk-ne/triathlon/races/norfolk-family-ymca-sprint-indoor-triathlon-2017?int=72-3-A11
2017 IRONMAN Template;Sunday, December 31, 2017;Frankfurt am Main Mainkai Frankfurt am Main , DE , Germany 60594 ;triathlon; Triathlon;WorldTriathlonCorporationEurope;http://ironman.com;http://www.active.com//frankfurt-am-main-de/triathlon/races/ironman-template-2017?int=72-3-A5
2017 Ironman Lake Placid Camp (140.6 & 70.3)- South Shore TRI Coach;Friday, June 23, 2017 - Monday, June 26, 2017;Lake Placid mirror lake drive Lake Placid , NY 12946 ;triathlon; Triathlon Ironman Half Ironman Lake Placid, NY;South Shore TRI Coach;http://southshoretricoach.com/imlpcamp/;http://www.active.com//lake-placid-ny/triathlon/clinics/ironman-lake-placid-camp-140-6-and-70-3-south-shore-tri-coach-2017?int=72-3-A10
Bob Bastiaans - Triathletes for Wounded Warriors 2016 Azalea Charities;Tuesday, March  8, 2016 - Saturday, December 31, 2016;Ironman Florida Panama City Panama City , FL 32401 ;triathlon; Triathlon Panama City, FL;Azalea Charities; ;http://www.active.com//panama-city-fl/triathlon/races/bob-bastiaans-triathletes-for-wounded-warriors-azalea-charities-2016?int=72-3-A10
Tri The Beast (Middle);Sunday, September 24, 2017;Lynmouth, Devon Lynmouth Green Devon Lynmouth , Somerset , United Kingdom EX35 6EN ;triathlon; Triathlon;Xman Events Ltd;http://xmanevents.com;http://www.active.com//lynmouth-somerset/triathlon/races/tri-the-beast-middle-2017?int=72-3-A1
2016 IRONMAN 70.3 Rio de Janeiro;Sunday, November  6, 2016;RIO DE JANEIRO RECREIO Avenida LГєcio Costa RIO DE JANEIRO , RIO DE JANEIRO , Brazil 22795-008 ;triathlon; Triathlon Half Ironman;Unlimited Sports;http://www.ironmanbrasil.com.br/2016/pal/br/;http://www.active.com//rio-de-janeiro-riodejaneiro/triathlon/races/ironman-70-3-rio-de-janeiro-2016?int=72-3-A1
Cannes International Triathlon 2017;Sunday, April 16, 2017;NDCA Bd de la Croisette Cannes , France 06400 ;triathlon; Triathlon;Cannes International Triathlon;http://www.cannes-international-triathlon.com;http://www.active.com//cannes/triathlon/races/cannes-international-triathlon-2017?int=72-3-A2
TRX Training 55+ - Monday Session 7;Monday, October 31, 2016 @  9:30 AM (CDT) - Monday, December  5, 2016 @ 10:15 AM (CST);City of Maplewood 2100 White Bear Avenue Maplewood , MN 55109 ;triathlon; Fitness Maplewood, MN;City of Maplewood; ;http://www.active.com//maplewood-mn/running/classes/trx-training-55-monday-session-7-2016-27534024?int=72-3-A6
Sheldon Triathlon Club TRYstars Program;Saturday, October  8, 2016 - Saturday, November 19, 2016;Sheldon College 43-77 Taylor Road Sheldon , QLD , Australia 4157 ;triathlon; Triathlon Beginner;Triathlon Australia;http://www.sheldontriathlonclub.com.au;http://www.active.com//sheldon-qld/triathlon/programs/sheldon-triathlon-club-trystars-program-2016?int=72-3-A3
Monster Standard;Sunday, August 20, 2017;Jubilee Gardens Broad Street Ely , GB , United Kingdom CB7 4BS ;triathlon; Triathlon International Beginner;Monster Racing;http://www.monsterracing.net/;http://www.active.com//ely-gb/triathlon/races/monster-standard-2017?int=72-3-A7
Trikings Triathlon Club Annual Membership;Wednesday, August 17, 2016 - Friday, August 18, 2017;President 19 John Ramsay Circuit Hope Valley , SA , Australia 5090 ;triathlon; Triathlon; ; ;http://www.active.com//hope-valley-sa/triathlon/races/trikings-triathlon-club-annual-membership-2016?int=72-3-A7
2017 Indiana Spring Sprint Tri/Du at Ball State University;Saturday, April 29, 2017;Ball State University 2000 W. University Muncie , IN 47306 ;triathlon; Duathlon Super Sprint Sprint Muncie, IN;America Multi-Sport, Inc. AX; ;http://www.active.com//muncie-in/duathlon/races/indiana-spring-sprint-tri-du-at-ball-state-university-2017?int=72-3-A5
Monster Middle;Sunday, August 20, 2017;Jubilee Gardens Broad Street Ely , GB , United Kingdom CB7 4BS ;triathlon; Triathlon Beginner;Monster Racing;http://www.monsterracing.net/;http://www.active.com//ely-gb/triathlon/races/monster-middle-2017?int=72-3-A4
The Lunstic Triathlon 2017;Friday, June  9, 2017;Price City Desert Wave Pool/Washington Park 250 E 500 N Price , UT 84501 ;triathlon; Duathlon 5K Sprint Beginner;The Lunatic Triathlon;http://www.lunatictriathlon.com;http://www.active.com//price-ut/duathlon/races/the-lunstic-triathlon-2017?int=72-3-A2
Online Personalised Coaching with Nick Carling;Thursday, December  1, 2016 - Friday, June 30, 2017;Team Carling PO Box 101 Clifton Beach , QLD , Australia 4879 ;triathlon; Triathlon;Team Carling; ;http://www.active.com/http://www.activekids.com/clifton-beach-qld/running/camps/online-personalised-coaching-with-nick-carling-2016?int=72-3-A5
Conquer The Chilterns Sprint Plus & Olympic Plus Triathlon;Sunday, September 17, 2017;Hambleden Estate Culden Faw Fawley Henley on Thames , United Kingdom RG9 3AP ;triathlon; Triathlon Sprint International Beginner;F3 Events Ltd;http://www.f3events.co.uk;http://www.active.com//henley-on-thames/triathlon/races/conquer-the-chilterns-sprint-plus-and-olympic-plus-triathlon-2017?int=72-3-A8
Boulder Sunset Tri;Sunday, August 27, 2017;Boulder Reservoir 5565 N 51st St. Boulder , CO 80301 ;triathlon; Triathlon International Sprint Beginner Boulder, CO;BBSC Endurance Sports;http://www.bbsctri.com/#!boulder-sunset/c1qzk;http://www.active.com//boulder-co/duathlon/races/boulder-sunset-tri-2017?int=72-3-A11
